TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE
Condo for sale,1200000,3,1,500,"New York, NY 10014","299 W 12th St Apt 3BNew York, NY 10014",New York,New York County,New York,Manhattan,40.7377431,-74.0052925
Co-op for sale,8250000,2,3,3000,"New York, NY 10019","128 Central Park S Unit 10ANew York, NY 10019",New York,New York County,New York,Manhattan,40.7660187,-73.9775473
House for sale,1150000,3,2,1600,"Brooklyn, NY 11235","2801 Brown StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,40.5851948,-73.9368737
Condo for sale,375000,1,1,387,"Brooklyn, NY 11232","662 Fourth Ave Unit 1RBrooklyn, NY 11232",New York,Kings County,Brooklyn,Sunset Park,40.6637079,-73.9949633
Condo for sale,2488000,2,2,1483,"New York, NY 10038","150 Nassau St Apt 2DNew York, NY 10038",New York,New York County,New York,Manhattan,40.7114624,-74.0059409
Co-op for sale,625000,1,1,2184.21,"New York, NY 10128","64 E 94th St Apt 1GNew York, NY 10128",New York,New York County,New York,Manhattan,40.7854218,-73.9544887
Multi-family home for sale,1510000,5,3,2184.21,"Brooklyn, NY 11232","151 31st StBrooklyn, NY 11232",United States,New York,Kings County,Brooklyn,40.6576519,-74.0019986
Co-op for sale,4500000,2,2,2184.21,"New York, NY 10065","870 Fifth Ave Apt 4DNew York, NY 10065",New York,New York County,New York,Manhattan,40.7699404,-73.9686033
Condo for sale,935000,1,1,713,"Brooklyn, NY 11201","110 Livingston St Apt 11JBrooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,40.6909831,-73.9899258
Multi-family home for sale,604200,5,3,2000,"Brooklyn, NY 11208","1114 Blake AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6703548,-73.8767077
Co-op for sale,375000,1,1,2184.21,"Rockaway Park, NY 11694","144 Beach 121st St Apt 1ARockaway Park, NY 11694",New York,Queens County,Queens,Rockaway Park,40.5770108,-73.8403983
Co-op for sale,339000,1,1,2184.21,"Astoria, NY 11105","2158 35th St Apt 1CAstoria, NY 11105",New York,Queens County,Queens,Astoria,40.7755886,-73.9082717
House for sale,1149000,3,1,2184.21,"Forest Hills, NY 11375","102-04 63 RdForest Hills, NY 11375",United States,New York,Queens County,Queens,40.7328877,-73.853874
Condo for sale,5200000,3,4,3400,"New York, NY 10024","29 W 85th St Apt 3New York, NY 10024",New York,New York County,New York,Manhattan,40.7852077,-73.9706676
